LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
Pune,2018,Ford,Ecosport 1.5 TITANIUM PLUS TI VCT AT,Manual,"40,399 km",Petrol,1st Owner,"₹8,32,199"
Pune,2018,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"50,008 km",Diesel,1st Owner,"₹8,60,999"
Pune,2017,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"66,188 km",Diesel,1st Owner,"₹6,86,999"
Pune,2018,Maruti,S Cross ALPHA SHVS,Manual,"41,232 km",Diesel,1st Owner,"₹9,81,999"
Pune,2018,Toyota,Innova Crysta 2.8 ZX AT 7 STR,Automatic,"19,937 km",Diesel,1st Owner,"₹20,74,399"
Pune,2015,Ford,Ecosport 1.0 ECOBOOST TITANIUM,Manual,"51,187 km",Petrol,2nd Owner,"₹5,65,899"
Pune,2018,Ford,Ecosport 1.5 TITANIUM PLUS TI VCT AT,Manual,"44,329 km",Petrol,1st Owner,"₹8,21,999"
Pune,2018,Ford,Ecosport TREND + 1.5 TI VCT AT,,"12,488 km",Petrol,1st Owner,"₹8,31,499"
Pune,2018,Ford,Ecosport 1.5 TITANIUM SIGNATURE (SUNROOF) TDCI,Manual,"56,305 km",Diesel,1st Owner,"₹9,45,199"
Pune,2018,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"14,797 km",Diesel,1st Owner,"₹9,52,299"
Pune,2017,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"25,988 km",Petrol,2nd Owner,"₹8,17,299"
Pune,2019,Hyundai,Creta 1.6 SX AT CRDI,Manual,"12,012 km",Diesel,1st Owner,"₹15,84,999"
Pune,2019,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"17,463 km",Petrol,1st Owner,"₹8,79,299"
Pune,2018,Maruti,Vitara Brezza ZDI+ DUAL TONE AMT,Manual,"54,738 km",Diesel,1st Owner,"₹8,36,899"
Pune,2018,Maruti,Vitara Brezza ZDI PLUS,Manual,"17,451 km",Diesel,1st Owner,"₹8,45,599"
Pune,2019,Maruti,Vitara Brezza VDI,Manual,"24,446 km",Diesel,1st Owner,"₹9,04,299"
Pune,2019,Maruti,Vitara Brezza ZDI,Manual,"31,803 km",Diesel,1st Owner,"₹9,33,099"
Pune,2016,Hyundai,Creta 1.6 E + VTVT,Manual,"24,915 km",Petrol,1st Owner,"₹8,62,899"
Pune,2017,Maruti,Ertiga ZDI PLUS SHVS,Manual,"25,713 km",Diesel,2nd Owner,"₹8,95,899"
Pune,2018,Ford,Ecosport 1.5 TREND+ TDCI,Manual,"13,327 km",Diesel,1st Owner,"₹8,31,599"
Pune,2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"3,139 km",Petrol,1st Owner,"₹12,32,299"
Pune,2017,Maruti,Ertiga ZDI PLUS SHVS,Manual,"40,062 km",Diesel,2nd Owner,"₹8,55,299"
Pune,2013,Maruti,Ertiga ZDI,Manual,"1,60,852 km",Diesel,2nd Owner,"₹4,99,599"
Pune,2014,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"61,273 km",Petrol,1st Owner,"₹5,52,699"
Pune,2014,Maruti,Ertiga VDI ABS,Manual,"62,744 km",Diesel,1st Owner,"₹6,56,499"
Pune,2017,Maruti,S Cross ZETA SHVS,Manual,"60,754 km",Diesel,1st Owner,"₹8,10,899"
Pune,2018,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"41,301 km",Petrol + CNG,1st Owner,"₹4,70,799"
Pune,2016,Hyundai,Creta 1.6 SX PLUS AUTO PETROL,Automatic,"39,166 km",Petrol,1st Owner,"₹10,00,799"
Pune,2019,Maruti,XL6 ALPHA AT SHVS,Automatic,"14,604 km",Petrol,1st Owner,"₹10,76,840"
Pune,2018,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"26,284 km",Diesel,1st Owner,"₹8,58,699"
Pune,2018,Hyundai,Creta 1.4 E PLUS CRDI,Manual,"59,465 km",Diesel,1st Owner,"₹9,75,999"
Pune,2018,Ford,Ecosport 1.5 TREND TDCI,Manual,"43,640 km",Diesel,1st Owner,"₹7,09,499"
Pune,2017,Hyundai,Tucson New 2WD AT GLS DIESEL,Automatic,"64,397 km",Diesel,1st Owner,"₹16,42,699"
Pune,2017,Jeep,Compass 2.0 LIMITED,Manual,"25,491 km",Diesel,2nd Owner,"₹14,76,599"
Pune,2017,Audi,Q3 30 TFSI Premium,Automatic,"23,739 km",Petrol,1st Owner,"₹20,66,999"
Pune,2015,Mahindra,XUV500 W8 FWD,Manual,"1,12,788 km",Diesel,3rd Owner,"₹6,51,999"
Pune,2014,Mahindra,XUV500 W8 FWD,Manual,"1,20,153 km",Diesel,2nd Owner,"₹6,96,899"
Pune,2016,Hyundai,Tucson New 2WD AT GLS DIESEL,Automatic,"62,779 km",Diesel,1st Owner,"₹14,65,799"
Pune,2017,Jeep,Compass LIMITED 1.4 AT,Automatic,"73,849 km",Petrol,1st Owner,"₹14,08,299"
Pune,2017,Toyota,Fortuner 2.8 4x2 MT,Manual,"45,399 km",Diesel,1st Owner,"₹22,06,899"
Pune,2014,Landrover,Freelander 2 TD4 SE,Automatic,"1,17,674 km",Diesel,2nd Owner,"₹14,23,599"
Pune,2015,Mahindra,XUV500 W10,Manual,"47,121 km",Diesel,1st Owner,"₹11,04,299"
Pune,2015,Mahindra,XUV500 W6 4X2,Manual,"42,995 km",Diesel,1st Owner,"₹7,73,399"
Pune,2018,Mahindra,XUV500 W11 AT,,"59,774 km",Diesel,1st Owner,"₹14,85,099"
Pune,2013,Honda,CRV 2.4 AWD AT AVN,Manual,"63,153 km",Petrol,2nd Owner,"₹9,79,599"
Pune,2015,Toyota,Fortuner 3.0 MT 4X2,Manual,"2,76,914 km",Diesel,1st Owner,"₹13,82,699"
Pune,2019,Jeep,Compass 2.0 SPORT,Manual,"10,356 km",Diesel,2nd Owner,"₹14,23,199"
Pune,2018,Jeep,Compass LIMITED O 1.4 AT,Automatic,"25,460 km",Petrol,2nd Owner,"₹14,96,799"
Pune,2018,Mahindra,XUV500 W7 FWD,Manual,"39,484 km",Diesel,1st Owner,"₹11,09,299"
Pune,2014,Honda,CRV 2.4 AT 4WD AVN,Automatic,"1,02,872 km",Petrol,1st Owner,"₹11,48,699"
Pune,2014,Hyundai,Santa Fe 4WD AT,Automatic,"73,427 km",Diesel,2nd Owner,"₹12,01,599"
Pune,2016,Toyota,Fortuner 3.0 AT 4X2,Automatic,"1,71,099 km",Diesel,1st Owner,"₹16,89,399"
Pune,2018,Jeep,Compass LIMITED 1.4 AT,Automatic,"13,908 km",Petrol,1st Owner,"₹16,42,799"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"53,886 km",Diesel,1st Owner,"₹4,65,799"
Pune,2016,Skoda,Rapid 1.5 TDI AT STYLE PLUS,Automatic,"91,173 km",Diesel,1st Owner,"₹6,02,799"
Pune,2017,Honda,City V CVT,Manual,"43,777 km",Petrol,1st Owner,"₹8,39,199"
Pune,2017,Maruti,Ciaz ZETA 1.3 DDIS SHVS,Manual,"68,735 km",Diesel,1st Owner,"₹7,60,999"
Pune,2014,Honda,Amaze 1.5 SX MT I DTEC,Manual,"62,672 km",Diesel,1st Owner,"₹4,66,199"
Pune,2019,Hyundai,Verna 1.6 SX VTVT,Manual,"11,728 km",Petrol,1st Owner,"₹9,58,599"
Pune,2018,Maruti,Dzire VXI,Manual,"27,960 km",Petrol,1st Owner,"₹6,56,999"
Pune,2018,Honda,City V MT PETROL,Manual,"18,363 km",Petrol,1st Owner,"₹9,19,099"
Pune,2013,Hyundai,Verna FLUIDIC 1.6 EX VTVT,Manual,"28,878 km",Petrol,1st Owner,"₹5,03,999"
Pune,2017,Ford,Figo Aspire 1.2 TITANIUM PETROL,Manual,"29,632 km",Petrol,1st Owner,"₹4,93,999"
Pune,2018,Hyundai,Verna 1.6 SX VTVT,Manual,"26,161 km",Petrol,1st Owner,"₹8,94,199"
Pune,2017,Hyundai,Verna 1.6 SX (O) CRDI MT,Manual,"43,660 km",Diesel,1st Owner,"₹11,28,799"
Pune,2018,Honda,City ZX CVT,Automatic,"31,698 km",Petrol,1st Owner,"₹11,50,499"
Pune,2018,Honda,Amaze 1.2 VXMT I VTEC,Manual,"14,604 km",Petrol,1st Owner,"₹7,02,799"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"36,856 km",Petrol,1st Owner,"₹11,07,399"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"1,36,082 km",Diesel,1st Owner,"₹4,39,099"
Pune,2018,Maruti,Ciaz ALPHA 1.3 DDIS SHVS,Manual,"28,121 km",Diesel,1st Owner,"₹8,79,599"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"16,869 km",Petrol,2nd Owner,"₹11,08,699"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"87,964 km",Diesel,1st Owner,"₹5,14,599"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"74,265 km",Diesel,1st Owner,"₹5,01,299"
Pune,2018,Maruti,Dzire VDI,Manual,"68,062 km",Diesel,1st Owner,"₹7,34,999"
Pune,2018,Maruti,Dzire VDI,Manual,"64,285 km",Diesel,1st Owner,"₹7,57,299"
Pune,2019,Honda,Civic ZX CVT PETROL,Automatic,"19,570 km",Petrol,1st Owner,"₹18,55,299"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"40,145 km",Diesel,1st Owner,"₹5,18,399"
Pune,2016,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"55,216 km",Petrol,1st Owner,"₹5,33,099"
Pune,2017,Ford,Figo Aspire 1.2 TITANIUM PETROL,Manual,"17,259 km",Petrol,2nd Owner,"₹4,83,799"
Pune,2018,Honda,Amaze 1.2 V CVT I VTEC,Manual,"40,267 km",Petrol,1st Owner,"₹7,28,899"
Pune,2019,Honda,City ZX CVT,Automatic,"12,680 km",Petrol,1st Owner,"₹12,03,499"
Pune,2014,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"40,738 km",Petrol,1st Owner,"₹4,88,799"
Pune,2012,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"1,71,266 km",Petrol,1st Owner,"₹3,79,199"
Pune,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"27,784 km",Petrol,1st Owner,"₹4,46,199"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"59,496 km",Diesel,1st Owner,"₹4,74,599"
Pune,2019,Maruti,Dzire ZXI AMT,Automatic,"3,202 km",Petrol,1st Owner,"₹8,22,899"
Pune,2011,Honda,City S MT PETROL,Manual,"1,01,973 km",Petrol,2nd Owner,"₹3,06,899"
Pune,2017,Maruti,Dzire ZXI,Manual,"66,105 km",Petrol,1st Owner,"₹5,97,799"
Pune,2017,Maruti,Dzire VXI AMT,Automatic,"67,513 km",Petrol,1st Owner,"₹6,07,899"
Pune,2011,Volkswagen,Vento HIGHLINE DIESEL,Manual,"79,484 km",Diesel,1st Owner,"₹3,31,099"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"53,886 km",Diesel,1st Owner,"₹4,65,799"
Pune,2016,Skoda,Rapid 1.5 TDI AT STYLE PLUS,Automatic,"91,173 km",Diesel,1st Owner,"₹6,02,799"
Pune,2017,Honda,City V CVT,Manual,"43,777 km",Petrol,1st Owner,"₹8,39,199"
Pune,2016,Honda,City SV MT PETROL,Manual,"68,794 km",Petrol,1st Owner,"₹6,63,799"
Pune,2018,Ford,Figo Aspire 1.5 TREND DIESEL,Manual,"28,177 km",Diesel,1st Owner,"₹6,35,899"
Pune,2014,Honda,City S MT PETROL,Manual,"1,46,906 km",Petrol,1st Owner,"₹4,90,999"
Pune,2018,Maruti,Dzire VXI,Manual,"19,340 km",Petrol,2nd Owner,"₹6,64,799"
Pune,2018,Maruti,Dzire VXI,Manual,"15,755 km",Petrol,1st Owner,"₹6,76,999"
Pune,2018,Toyota,YARIS VX CVT,,"10,012 km",Petrol,1st Owner,"₹10,66,699"
Pune,2018,Maruti,Dzire VDI,Manual,"53,186 km",Diesel,1st Owner,"₹6,91,199"
Pune,2017,Maruti,Dzire ZDI,Manual,"40,204 km",Diesel,1st Owner,"₹7,61,599"
Pune,2017,Hyundai,Xcent SX 1.2,Manual,"27,432 km",Petrol,1st Owner,"₹5,16,099"
Pune,2018,Maruti,Dzire VDI,Manual,"68,062 km",Diesel,1st Owner,"₹7,34,999"
Pune,2018,Maruti,Dzire VDI,Manual,"64,285 km",Diesel,1st Owner,"₹7,57,299"
Pune,2019,Honda,Civic ZX CVT PETROL,Automatic,"19,570 km",Petrol,1st Owner,"₹18,55,299"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"40,145 km",Diesel,1st Owner,"₹5,18,399"
Pune,2016,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"55,216 km",Petrol,1st Owner,"₹5,33,099"
Pune,2017,Ford,Figo Aspire 1.2 TITANIUM PETROL,Manual,"17,259 km",Petrol,2nd Owner,"₹4,83,799"
Pune,2018,Honda,Amaze 1.2 V CVT I VTEC,Manual,"40,267 km",Petrol,1st Owner,"₹7,28,899"
Pune,2019,Honda,City ZX CVT,Automatic,"12,680 km",Petrol,1st Owner,"₹12,03,499"
Pune,2014,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"40,738 km",Petrol,1st Owner,"₹4,88,799"
Pune,2012,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"1,71,266 km",Petrol,1st Owner,"₹3,79,199"
Pune,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"27,784 km",Petrol,1st Owner,"₹4,46,199"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"12,584 km",Petrol,1st Owner,"₹12,00,299"
Pune,2019,Maruti,Dzire VXI,Manual,"19,015 km",Petrol,1st Owner,"₹6,26,799"
Pune,2018,Maruti,Ciaz ALPHA 1.5 AT VTVT SHVS,Automatic,"49,828 km",Petrol,1st Owner,"₹8,13,899"
Pune,2015,Maruti,Ciaz ZXI,Manual,"72,544 km",Petrol,2nd Owner,"₹5,17,499"
Pune,2014,Honda,City SV MT DIESEL,Manual,"37,909 km",Diesel,2nd Owner,"₹5,35,699"
Pune,2015,Honda,City VX MT PETROL,Manual,"50,169 km",Petrol,1st Owner,"₹7,37,799"
Pune,2012,Maruti,SX4 ZDI,Manual,"1,32,910 km",Diesel,1st Owner,"₹3,59,699"
Pune,2016,Volkswagen,Vento HIGHLINE 1.2 TSI AT,,"68,459 km",Petrol,1st Owner,"₹6,75,999"
Pune,2017,Maruti,Dzire VXI AMT,Automatic,"19,822 km",Petrol,1st Owner,"₹6,72,199"
Pune,2018,Honda,Amaze 1.2 V CVT I VTEC,Manual,"11,852 km",Petrol,1st Owner,"₹7,37,399"
Pune,2018,Toyota,YARIS G MT,Manual,"28,949 km",Petrol,1st Owner,"₹7,74,599"
Pune,2015,Ford,Figo Aspire 1.5 TREND DIESEL,Manual,"64,669 km",Diesel,1st Owner,"₹4,73,899"
Pune,2016,Maruti,Ciaz VXI,Manual,"61,369 km",Petrol,2nd Owner,"₹5,58,499"
Pune,2014,Honda,Amaze 1.5 SX MT I DTEC,Manual,"54,831 km",Diesel,1st Owner,"₹4,43,899"
Pune,2016,Maruti,Ciaz VDI+ SHVS,Manual,"1,09,630 km",Diesel,1st Owner,"₹6,01,199"
Pune,2017,Maruti,Dzire ZXI,Manual,"37,024 km",Petrol,1st Owner,"₹6,55,799"
Pune,2017,Maruti,Dzire VDI,Manual,"1,07,185 km",Diesel,1st Owner,"₹6,87,699"
Pune,2018,Maruti,Dzire VXI,Manual,"6,778 km",Petrol,1st Owner,"₹7,13,299"
Pune,2018,Honda,City SV MT PETROL,Manual,"14,851 km",Petrol,2nd Owner,"₹8,42,799"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"15,610 km",Petrol,1st Owner,"₹12,21,599"
Pune,2018,Ford,Figo Aspire 1.5 TREND DIESEL,Manual,"31,641 km",Diesel,2nd Owner,"₹6,37,299"
Pune,2018,Honda,City VX CVT PETROL,Automatic,"17,138 km",Petrol,2nd Owner,"₹10,43,299"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"22,725 km",Petrol,1st Owner,"₹11,68,399"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"60,214 km",Petrol,1st Owner,"₹10,90,999"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"29,110 km",Petrol,1st Owner,"₹11,86,199"
Pune,2017,Maruti,Dzire ZDI Plus AMT,Automatic,"38,118 km",Diesel,2nd Owner,"₹7,48,499"
Pune,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"15,052 km",Petrol,2nd Owner,"₹4,93,099"
Pune,2019,Honda,City ZX MT PETROL,Manual,"10,806 km",Petrol,1st Owner,"₹11,51,399"
Pune,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"29,715 km",Petrol,1st Owner,"₹5,44,699"
Pune,2015,Honda,Amaze 1.2 VXMT I VTEC,Manual,"39,046 km",Petrol,2nd Owner,"₹4,64,099"
Pune,2013,Volkswagen,Vento HIGHLINE PETROL AT,Automatic,"68,260 km",Petrol,1st Owner,"₹3,73,199"
Pune,2019,Honda,Amaze VX AT I DTEC,Automatic,"23,810 km",Diesel,2nd Owner,"₹8,01,499"
Pune,2014,Honda,Amaze 1.5 SMT I DTEC,Manual,"93,230 km",Diesel,1st Owner,"₹4,19,499"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"72,893 km",Diesel,1st Owner,"₹5,01,299"
Pune,2017,Hyundai,Verna 1.6 SX VTVT,Manual,"32,920 km",Petrol,1st Owner,"₹7,55,699"
Pune,2016,Volkswagen,Vento HIGHLINE TDI AT,Automatic,"1,11,442 km",Diesel,1st Owner,"₹7,34,899"
Pune,2018,Maruti,Dzire VXI,Manual,"9,098 km",Petrol,1st Owner,"₹6,61,699"
Pune,2013,Honda,Amaze 1.5 VXMT I DTEC,Manual,"1,42,720 km",Diesel,2nd Owner,"₹4,25,099"
Pune,2016,Volkswagen,Ameo HIGHLINE 1.2,Manual,"39,132 km",Petrol,2nd Owner,"₹4,82,599"
Pune,2015,Honda,Amaze 1.2 SMT I VTEC,Manual,"68,831 km",Petrol,1st Owner,"₹4,77,599"
Pune,2017,Honda,City ZX CVT,Automatic,"73,786 km",Petrol,1st Owner,"₹10,18,199"
Pune,2017,Maruti,Dzire VDI AMT,Automatic,"66,990 km",Diesel,1st Owner,"₹7,30,899"
Pune,2017,Hyundai,Xcent S AT 1.2,Automatic,"31,063 km",Petrol,1st Owner,"₹5,59,099"
Pune,2017,Maruti,Ciaz ALPHA 1.3 DDIS SHVS,Manual,"74,981 km",Diesel,1st Owner,"₹7,53,799"
Pune,2018,Maruti,Dzire ZDI,Manual,"26,367 km",Diesel,1st Owner,"₹8,19,999"
Pune,2017,Hyundai,Verna 1.6 SX (O) CRDI MT,Manual,"76,527 km",Diesel,1st Owner,"₹10,97,699"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"74,296 km",Diesel,1st Owner,"₹5,32,199"
Pune,2019,Honda,Amaze 1.2 V CVT I VTEC,,"15,798 km",Petrol,1st Owner,"₹8,25,299"
Pune,2019,Ford,Figo Aspire 1.2 TITANIUM PETROL,Manual,"14,526 km",Petrol,1st Owner,"₹6,12,699"
Pune,2014,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"30,601 km",Petrol,2nd Owner,"₹4,32,799"
Pune,2014,Maruti,Swift Dzire VDI BS IV,Manual,"1,08,079 km",Diesel,1st Owner,"₹5,37,499"
Pune,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"31,026 km",Petrol,1st Owner,"₹5,28,099"
Pune,2013,Maruti,Swift Dzire VDI,Manual,"1,61,540 km",Diesel,1st Owner,"₹4,57,399"
Pune,2019,Maruti,Dzire VXI,Manual,"14,781 km",Petrol,1st Owner,"₹7,05,899"
Pune,2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"53,331 km",Petrol,1st Owner,"₹4,29,399"
Pune,2018,Ford,Figo Aspire 1.2 Trend+ Petrol,Manual,"6,038 km",Petrol,1st Owner,"₹6,17,099"
Pune,2014,Honda,Amaze 1.5 SMT I DTEC,Manual,"80,958 km",Diesel,1st Owner,"₹4,09,899"
